mission_name,agency,country,launch_year,mission_type,destination,status,duration_days,crew_size,cost_usd_billions,key_achievement,instruments_count,distance_km,scientific_papers_published,notable_discovery
Mars Odyssey,NASA,USA,2001,Orbiter,Mars,Active,8000+,0,0.297,Discovered hydrogen indicating water ice; communication relay,3,380000000,800+,Vast water ice deposits at Mars south pole
Mars Express,ESA,Europe,2003,Orbiter,Mars,Active,7000+,0,0.15,Evidence of liquid water under south polar ice cap,7,380000000,1200+,Subsurface liquid water lake discovered; methane detections
Mars Exploration Rover Spirit,NASA,USA,2003,Rover,Mars,Completed,2208,0,0.82,Evidence of ancient water activity; volcanic history,9,380000000,1500+,Mars rocks show alteration by water; Columbia Hills geology
Mars Exploration Rover Opportunity,NASA,USA,2003,Rover,Mars,Completed,5352,0,0.82,15-year mission; 45km traverse; definitive water history evidence,9,380000000,2000+,Hematite spheres ("blueberries") formed in water; Endeavour crater floor ancient lake
MESSENGER,NASA,USA,2004,Orbiter,Mercury,Completed,4105,0,0.446,First Mercury orbiter; complete surface mapping,7,91700000,600+,Water ice at Mercury's poles; ancient volcanic activity
New Horizons,NASA,USA,2006,Flyby,Pluto/Kuiper Belt,Active,6000+,0,0.72,First Pluto flyby; Pluto revealed complex geology,7,7400000000,500+,Pluto has mountains of water ice; nitrogen glaciers; atmospheric haze layers
Phoenix Mars Lander,NASA,USA,2007,Lander,Mars,Completed,157,0,0.386,Confirmed water ice at Mars arctic; tasted Martian soil,8,380000000,300+,Water ice confirmed; soil chemistry hostile to current life but not ancient
Lunar Reconnaissance Orbiter,NASA,USA,2009,Orbiter,Moon,Active,5000+,0,0.583,High-resolution lunar mapping; water ice confirmation,7,384400,1000+,Water ice confirmed in permanently shadowed craters; detailed lunar topography
Kepler Space Telescope,NASA,USA,2009,Space Telescope,Earth Orbit (Solar),Completed,3537,0,0.6,Discovered 2700+ confirmed exoplanets; planets ubiquitous,1,150000000,5000+,Rocky Earth-size planets common; many in habitable zones; planetary systems common
Rosetta,ESA,Europe,2004,Orbiter/Lander,Comet 67P,Completed,4343,0,1.4,First comet orbiter and lander; organic chemistry,21,510000000,800+,Comets contain amino acids and complex organics; possible seeds of life delivery
Dawn,NASA,USA,2007,Orbiter,Vesta/Ceres,Completed,4018,0,0.467,First spacecraft to orbit two extraterrestrial bodies,3,414000000,600+,Ceres has bright spots from salt deposits; ancient ocean evidence on Ceres
Curiosity Mars Rover,NASA,USA,2011,Rover,Mars,Active,4000+,0,2.5,Confirmed Mars once habitable for microbial life; nuclear power,10,380000000,3000+,Gale Crater was ancient lake; organic molecules detected; methane seasonal variation
MAVEN,NASA,USA,2013,Orbiter,Mars,Active,3500+,0,0.671,Mars atmospheric loss to space measured; why Mars lost water,8,380000000,600+,Solar wind stripped Mars atmosphere over billions of years explaining dry Mars
Hayabusa2,JAXA,Japan,2014,Sample Return,Asteroid Ryugu,Completed,2219,0,0.3,Returned samples from primitive C-type asteroid,6,300000000,200+,Organic compounds and water-bearing minerals on Ryugu; primordial building blocks of life
InSight Mars Lander,NASA,USA,2018,Lander,Mars,Completed,1443,0,0.814,First seismometer on Mars; interior structure mapped,6,380000000,400+,Mars is seismically active; large impacts and tectonic activity; thin crust in some areas
Parker Solar Probe,NASA,USA,2018,Flyby,Sun,Active,2000+,0,1.5,Closest approach to Sun ever; solar wind origin,4,6300000,300+,First spacecraft to fly through solar corona; solar wind acceleration mechanisms
Chang'e 4,CNSA,China,2018,Lander/Rover,Moon far side,Active,2000+,2,unknown,First soft landing on lunar far side,8,384400,100+,Far side geological composition differs from near side; radio quiet zone for astronomy
Mars 2020 Perseverance,NASA,USA,2020,Rover,Mars,Active,1000+,0,2.7,Oxygen production on Mars; first Mars helicopter; biosignature search,23,380000000,500+,MOXIE produced oxygen from CO2; Ingenuity helicopter proved powered flight on Mars
James Webb Space Telescope,NASA/ESA/CSA,USA/Europe/Canada,2021,Space Telescope,L2 Orbit,Active,1000+,0,10.0,Most powerful space telescope; first galaxies; exoplanet atmospheres,4,1500000,2000+,First galaxies 300 million years after Big Bang; CO2 and complex molecules in exoplanet atmospheres
Artemis I,NASA,USA,2022,Uncrewed Lunar,Moon,Completed,25,0,4.1,Uncrewed test of SLS/Orion system; farthest crewed-class spacecraft from Earth,13,450000,10+,SLS and Orion validated for crewed missions; heat shield performance confirmed
OSIRIS-REx,NASA,USA,2016,Sample Return,Asteroid Bennu,Completed,2558,0,0.8,Largest asteroid sample return from beyond Moon (120g),8,225000000,200+,Bennu surface loose and porous; carbonaceous material with organic compounds; delivery mechanism for life's ingredients
Chandrayaan-3,ISRO,India,2023,Lander/Rover,Moon South Pole,Completed,41,0,0.075,First spacecraft to soft-land near lunar south pole,3,384400,20+,Sulfur and other elements confirmed at south pole; water ice vicinity confirmed
